id,claim,model,repetition,label,explanation,confidence,valid_json,raw_text
10,Is there anything he accuses Hillary of that he is not guilty of?,llama-3.2-3b,2,sarcastic,The claim is sarcastic because it inverts the typical assumption that someone who accuses someone else of a crime is guilty of it.,90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it inverts the typical assumption that someone who accuses someone else of a crime is guilty of it.\"", \""confidence\"": 90}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.2-3b,2,sarcastic,"The phrase is written in a tone that implies the opposite, and the use of 'no you' is a common feature of sarcastic statements.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase is written in a tone that implies the opposite, and the use of 'no you' is a common feature of sarcastic statements.\"", \""confidence\"": 80}"""
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,llama-3.2-3b,2,sarcastic,"The language used is informal and mocking, indicating sarcasm.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The language used is informal and mocking, indicating sarcasm.\"", \""confidence\"": 80}"""
13,That title belongs to Joe Warren.,llama-3.2-3b,2,literal,"The claim states the title belongs to Joe Warren, which is a factual statement.",100,True,"""{\""label\"": \""literal\"", \""explanation\"": \""The claim states the title belongs to Joe Warren, which is a factual statement.\"", \""confidence\"": 100}"""
0,They were too brown to be real Christians,llama-3.2-3b,3,sarcastic,The claim is sarcastic because it implies that being brown is somehow inherently un-Christian.,80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies that being brown is somehow inherently un-Christian.\"", \""confidence\"": 80}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.2-3b,3,sarcastic,"The claim is sarcastic because it describes a person inserting their finger into a trigger guard, which is extremely dangerous and unlikely to be literal.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it describes a person inserting their finger into a trigger guard, which is extremely dangerous and unlikely to be literal.\"", \""confidence\"": 80}"""
2,The Browns don't know shit when it comes to QB's.,llama-3.2-3b,3,sarcastic,"The claim is sarcastic because it uses the phrase 'don't know shit', which is an idiomatic expression used to express contempt or disdain, rather than a literal statement.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it uses the phrase 'don't know shit', which is an idiomatic expression used to express contempt or disdain, rather than a literal statement.\"", \""confidence\"": 90}"""
3,Mario didn't play as many games,llama-3.2-3b,3,sarcastic,"The claim is sarcastic because it implies Mario played many games, a common trope in his character, and then says he didn",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies Mario played many games, a common trope in his character, and then says he didn\"", \""confidence\"": 90}"""
6,"Amazing, there was actually a time when Xbox Live didn't exist.",llama-3.2-3b,3,sarcastic,The claim is sarcastic because it expresses surprise and disbelief that Xbox Live existed at some point in the past.,90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it expresses surprise and disbelief that Xbox Live existed at some point in the past.\"", \""confidence\"": 90}"""
9,"Synical ploy for SF, there must be an election coming up!",llama-3.2-3b,3,sarcastic,"The use of the word ""Synical"" (likely a typo for ""Sycnic"" or a play on the word ""sympathetic""), the phrase ""ploy for SF"", and the statement ""there must be an election coming up!"" suggest that the speaker is being sarcastic, implying that the situation is not as dire as they claim.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of the word \\\""Synical\\\"" (likely a typo for \\\""Sycnic\\\"" or a play on the word \\\""sympathetic\\\""), the phrase \\\""ploy for SF\\\"", and the statement \\\""there must be an election coming up!\\\"" suggest that the speaker is being sarcastic, implying that the situation is not as dire as they claim.\"", \""confidence\"": 80}"""
10,Is there anything he accuses Hillary of that he is not guilty of?,llama-3.2-3b,3,sarcastic,"The claim is sarcastic because it implies that the person is accusing Hillary of something she is definitely guilty of, which is unlikely.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies that the person is accusing Hillary of something she is definitely guilty of, which is unlikely.\"", \""confidence\"": 80}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.2-3b,3,sarcastic,The phrase 'no you are not ready' is a common idiomatic expression used to convey the opposite of what the speaker actually means. The speaker is likely being sarcastic when saying that someone who is not level 30 is not ready.,90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'no you are not ready' is a common idiomatic expression used to convey the opposite of what the speaker actually means. The speaker is likely being sarcastic when saying that someone who is not level 30 is not ready.\"", \""confidence\"": 90}"""
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,llama-3.2-3b,3,sarcastic,"The use of profanity and the phrase 'obvs wrong' suggest sarcasm, as it is an exaggerated and mocking response.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of profanity and the phrase 'obvs wrong' suggest sarcasm, as it is an exaggerated and mocking response.\"", \""confidence\"": 80}"""
13,That title belongs to Joe Warren.,llama-3.2-3b,3,sarcastic,"The claim is about a title, not about Joe Warren, suggesting it is sarcastic.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is about a title, not about Joe Warren, suggesting it is sarcastic.\"", \""confidence\"": 80}"""
0,They were too brown to be real Christians,llama-3.2-3b,4,sarcastic,"The claim is sarcastic because it implies that the person is not a real Christian because of their skin color, which is a discriminatory statement.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies that the person is not a real Christian because of their skin color, which is a discriminatory statement.\"", \""confidence\"": 90}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.2-3b,4,sarcastic,"The claim is sarcastic because it describes a highly improbable and impossible action to jam a gun, making it an obvious exaggeration.",98,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it describes a highly improbable and impossible action to jam a gun, making it an obvious exaggeration.\"", \""confidence\"": 98}"""
2,The Browns don't know shit when it comes to QB's.,llama-3.2-3b,4,sarcastic,The phrase 'don't know shit' is an idiomatic expression that is often used sarcastically to convey strong disagreement or criticism.,90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'don't know shit' is an idiomatic expression that is often used sarcastically to convey strong disagreement or criticism.\"", \""confidence\"": 90}"""
3,Mario didn't play as many games,llama-3.2-3b,4,sarcastic,The claim is sarcastic because it implies the opposite of what is expected for a famous video game character like Mario.,90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies the opposite of what is expected for a famous video game character like Mario.\"", \""confidence\"": 90}"""
6,"Amazing, there was actually a time when Xbox Live didn't exist.",llama-3.2-3b,4,sarcastic,"The claim is sarcastic because it expresses surprise and admiration for a situation that is unlikely to occur, implying that Xbox Live is still a significant part of the gaming industry.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it expresses surprise and admiration for a situation that is unlikely to occur, implying that Xbox Live is still a significant part of the gaming industry.\"", \""confidence\"": 90}"""
9,"Synical ploy for SF, there must be an election coming up!",llama-3.2-3b,4,sarcastic,"The claim uses the word 'Synical' instead of 'Syndical', which is a common typo for 'syndical', a term related to socialism. The phrase 'there must be an election coming up' is also ironic, as the claim is likely referring to a progressive or liberal cause, but using the word 'Synical' to mock it. This suggests that the claim is sarcastic.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses the word 'Synical' instead of 'Syndical', which is a common typo for 'syndical', a term related to socialism. The phrase 'there must be an election coming up' is also ironic, as the claim is likely referring to a progressive or liberal cause, but using the word 'Synical' to mock it. This suggests that the claim is sarcastic.\"", \""confidence\"": 80}"""
10,Is there anything he accuses Hillary of that he is not guilty of?,llama-3.2-3b,4,sarcastic,"The claim is sarcastic because it implies that the person is accusing Hillary of something she is definitely guilty of, which is a contradictory and absurd statement.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies that the person is accusing Hillary of something she is definitely guilty of, which is a contradictory and absurd statement.\"", \""confidence\"": 80}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.2-3b,4,sarcastic,"The phrase 'no you are not ready' is an ironic way of saying the opposite, suggesting that being lvl 30 is not enough to be ready.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'no you are not ready' is an ironic way of saying the opposite, suggesting that being lvl 30 is not enough to be ready.\"", \""confidence\"": 90}"""
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,llama-3.2-3b,4,sarcastic,"The claim contains profanity, is dismissive of opposing views, and uses the phrase obvs, which is a colloquialism for obvious, often used in a sarcastic tone.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim contains profanity, is dismissive of opposing views, and uses the phrase obvs, which is a colloquialism for obvious, often used in a sarcastic tone.\"", \""confidence\"": 90}"""
13,That title belongs to Joe Warren.,llama-3.2-3b,4,literal,"The claim states the title belongs to Joe Warren, which is a direct statement of fact, indicating it is a literal statement.",100,True,"""{\""label\"": \""literal\"", \""explanation\"": \""The claim states the title belongs to Joe Warren, which is a direct statement of fact, indicating it is a literal statement.\"", \""confidence\"": 100}"""
0,They were too brown to be real Christians,llama-3.2-3b,5,sarcastic,"The claim is sarcastic because it implies that being brown is a characteristic that would make someone not a real Christian, which is an exaggeration and not a literal interpretation of the term.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies that being brown is a characteristic that would make someone not a real Christian, which is an exaggeration and not a literal interpretation of the term.\"", \""confidence\"": 80}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.2-3b,5,sarcastic,"The claim is likely sarcastic because it describes a highly improbable and awkward action, which is typically used to express irony or mocking.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is likely sarcastic because it describes a highly improbable and awkward action, which is typically used to express irony or mocking.\"", \""confidence\"": 80}"""
2,The Browns don't know shit when it comes to QB's.,llama-3.2-3b,5,sarcastic,"The phrase 'don't know shit' is an idiomatic expression that is typically used to express contempt or disdain, rather than a literal statement.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'don't know shit' is an idiomatic expression that is typically used to express contempt or disdain, rather than a literal statement.\"", \""confidence\"": 90}"""
3,Mario didn't play as many games,llama-3.2-3b,5,sarcastic,The claim is sarcastic because it contradicts the common perception that Mario plays a large number of games.,90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it contradicts the common perception that Mario plays a large number of games.\"", \""confidence\"": 90}"""
6,"Amazing, there was actually a time when Xbox Live didn't exist.",llama-3.2-3b,5,sarcastic,"The claim is sarcastic because it says 'Amazing' in response to a historical fact, implying that the lack of Xbox Live was somehow amazing or desirable.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it says 'Amazing' in response to a historical fact, implying that the lack of Xbox Live was somehow amazing or desirable.\"", \""confidence\"": 90}"""
9,"Synical ploy for SF, there must be an election coming up!",llama-3.2-3b,5,sarcastic,The use of the word 'Synical' instead of 'Syndical' and the phrase 'ploy for SF' suggests a sarcastic tone.,80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of the word 'Synical' instead of 'Syndical' and the phrase 'ploy for SF' suggests a sarcastic tone.\"", \""confidence\"": 80}"""
10,Is there anything he accuses Hillary of that he is not guilty of?,llama-3.2-3b,5,sarcastic,"The question is phrased in a way that suggests the speaker is questioning the validity of the accusations, implying a sarcastic tone.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The question is phrased in a way that suggests the speaker is questioning the validity of the accusations, implying a sarcastic tone.\"", \""confidence\"": 90}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.2-3b,5,sarcastic,"The use of the phrase 'no you are not ready' is ironic and dismissive, implying that being level 30 is a requirement for being ready, which is not necessarily true.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of the phrase 'no you are not ready' is ironic and dismissive, implying that being level 30 is a requirement for being ready, which is not necessarily true.\"", \""confidence\"": 90}"""
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,llama-3.2-3b,5,sarcastic,"The claim uses strong profanity and implies the other person is obviously wrong, which are common characteristics of sarcastic language.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses strong profanity and implies the other person is obviously wrong, which are common characteristics of sarcastic language.\"", \""confidence\"": 90}"""
13,That title belongs to Joe Warren.,llama-3.2-3b,5,sarcastic,"The title is likely sarcastic because it says the title belongs to Joe Warren, implying that Joe Warren is the actual owner of the title, but the title is probably not Joe Warren.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The title is likely sarcastic because it says the title belongs to Joe Warren, implying that Joe Warren is the actual owner of the title, but the title is probably not Joe Warren.\"", \""confidence\"": 80}"""
0,They were too brown to be real Christians,llama-3.2-3b,6,sarcastic,The phrase 'too brown to be real Christians' is a common idiomatic expression used to describe people of color who are perceived as being too dark-skinned to be Christian. This phrase is often used in a derogatory manner to imply that people of color are not 'true' Christians.,95,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'too brown to be real Christians' is a common idiomatic expression used to describe people of color who are perceived as being too dark-skinned to be Christian. This phrase is often used in a derogatory manner to imply that people of color are not 'true' Christians.\"", \""confidence\"": 95}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.2-3b,6,sarcastic,"The claim is sarcastic because it describes a highly improbable and dangerous action, while the context suggests a more literal explanation, such as the gun being jammed due to a piece of debris or a malfunction.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it describes a highly improbable and dangerous action, while the context suggests a more literal explanation, such as the gun being jammed due to a piece of debris or a malfunction.\"", \""confidence\"": 80}"""
2,The Browns don't know shit when it comes to QB's.,llama-3.2-3b,6,sarcastic,The phrase suggests the speaker has a low opinion of the Browns,80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase suggests the speaker has a low opinion of the Browns\"", \""confidence\"": 80}"""
3,Mario didn't play as many games,llama-3.2-3b,6,sarcastic,"The claim is sarcastic because it's a statement that is the opposite of what is expected, implying that Mario played many games, which is a common trope in his games.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it's a statement that is the opposite of what is expected, implying that Mario played many games, which is a common trope in his games.\"", \""confidence\"": 90}"""
6,"Amazing, there was actually a time when Xbox Live didn't exist.",llama-3.2-3b,6,sarcastic,"The claim is made about a time when Xbox Live didn't exist, implying that it was a bad time, which is a common use of sarcasm.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is made about a time when Xbox Live didn't exist, implying that it was a bad time, which is a common use of sarcasm.\"", \""confidence\"": 80}"""
9,"Synical ploy for SF, there must be an election coming up!",llama-3.2-3b,6,sarcastic,The use of the word 'Synical' instead of 'Synical' and the phrase 'there must be an election coming up!' suggests a sarcastic tone.,80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of the word 'Synical' instead of 'Synical' and the phrase 'there must be an election coming up!' suggests a sarcastic tone.\"", \""confidence\"": 80}"""
10,Is there anything he accuses Hillary of that he is not guilty of?,llama-3.2-3b,6,sarcastic,"The claim is sarcastic because it implies that if there is anything Hillary is guilty of, then the speaker is not guilty of the same thing.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies that if there is anything Hillary is guilty of, then the speaker is not guilty of the same thing.\"", \""confidence\"": 80}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.2-3b,6,sarcastic,The phrase 'no you are not ready' is a common sarcastic way to express that someone is not ready for a challenge.,90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'no you are not ready' is a common sarcastic way to express that someone is not ready for a challenge.\"", \""confidence\"": 90}"""
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,llama-3.2-3b,6,sarcastic,The use of profanity and the phrase 'obvs wrong' indicate a sarcastic tone.,90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of profanity and the phrase 'obvs wrong' indicate a sarcastic tone.\"", \""confidence\"": 90}"""
13,That title belongs to Joe Warren.,llama-3.2-3b,6,sarcastic,"The claim is sarcastic because it says a title belongs to Joe Warren, implying it doesn",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it says a title belongs to Joe Warren, implying it doesn\"", \""confidence\"": 80}"""
0,They were too brown to be real Christians,llama-3.2-3b,7,sarcastic,"The claim is sarcastic because it implies that the person's skin color is evidence of their Christian faith, which is a ridiculous and discriminatory assumption.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies that the person's skin color is evidence of their Christian faith, which is a ridiculous and discriminatory assumption.\"", \""confidence\"": 80}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.2-3b,7,sarcastic,This claim is likely sarcastic because it uses a complex and humorous explanation to describe a simple action.,80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""This claim is likely sarcastic because it uses a complex and humorous explanation to describe a simple action.\"", \""confidence\"": 80}"""
2,The Browns don't know shit when it comes to QB's.,llama-3.2-3b,7,sarcastic,"The phrase 'don't know shit' is a colloquial and informal expression of disdain, typically used sarcastically to express frustration or annoyance.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'don't know shit' is a colloquial and informal expression of disdain, typically used sarcastically to express frustration or annoyance.\"", \""confidence\"": 90}"""
